gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
Male,1,No,No,32,No,No phone service,No,No,No,No,No internet service,Yes,Yes,One year,No,Electronic check,75.3945738742196,1866.45
Female,0,No,No,42,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),64.13029758953252,3190.25
Female,0,No,No,24,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,53.813860028384475,1625.65
Male,0,Yes,Yes,68,No,No,No,No,Yes,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),75.322264579029,8035.95
Female,0,No,Yes,15,No,Yes,No,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,80.23572930901655,743.75
Female,0,No,Yes,61,Yes,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),11.58176186529321,6993.65
Female,0,No,Yes,53,No,No,No,No,No,No internet service,Yes,No,No,Month-to-month,No,Electronic check,115.25259351086063,20.25
Male,0,No,No,22,Yes,No,DSL,No internet service,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,91.4175156524121,3848
Female,1,No,No,7,No,No phone service,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,55.27313876278488,1982.6
Male,0,No,Yes,43,No,No,DSL,No,No internet service,Yes,No,No,No internet service,One year,Yes,Electronic check,38.9159531554194,156.4
Female,0,No,No,67,No,No phone service,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),52.81103056459142,1710.15
Female,1,Yes,Yes,62,No,No phone service,Fiber optic,No,No,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,17.08862441388237,388.6
Female,1,Yes,Yes,40,No,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,45.017911161069065,191.05
Female,0,Yes,No,45,No,No,DSL,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,14.021796821293705,6993.65
Female,1,No,No,40,No,Yes,DSL,Yes,Yes,No internet service,No,No,No internet service,One year,No,Electronic check,62.06066924091504,316.9
Female,1,No,No,33,No,No phone service,No,No,Yes,No internet service,No internet service,No,No,One year,Yes,Electronic check,68.03793277199443,791.75
Female,0,No,Yes,70,No,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,No,One year,Yes,Bank transfer (automatic),81.96414130955144,5293.95
Male,1,Yes,No,67,No,No phone service,DSL,Yes,No internet service,No,No,Yes,Yes,One year,No,Electronic check,93.24357682347822,811.65
Male,1,Yes,No,27,No,No phone service,DSL,No internet service,Yes,Yes,No,No,Yes,Two year,No,Mailed check,102.1204889289087,4166.35
Male,0,Yes,No,41,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),88.19454106234693,1719.15
Male,0,No,No,41,Yes,No phone service,No,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,62.15683365646757,135.2
Male,0,Yes,No,21,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No,No,One year,Yes,Mailed check,67.53718738126413,226.55
Female,0,No,No,13,No,No,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,23.769424991460227,44.05
Male,0,No,Yes,16,No,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,90.47318181230142,1579.7
Male,0,No,No,43,No,No,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,51.4466971827534,898.35
Female,0,No,No,48,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,109.22490156664982,5251.75
Female,1,No,Yes,25,No,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),77.60434708092585,4070.95
Male,0,No,No,6,No,No phone service,DSL,No internet service,Yes,No,No,Yes,Yes,One year,No,Electronic check,59.29271162470467,1148.1
Male,0,Yes,Yes,1,No,No phone service,Fiber optic,Yes,No,No,No,No internet service,No,Two year,Yes,Electronic check,91.61660991559262,24.45
Female,0,Yes,No,29,No,No phone service,DSL,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,83.02370548530054,3046.05
Male,0,No,No,60,No,No phone service,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),82.78446262647876,593.75
Male,0,No,No,39,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,Yes,No internet service,Two year,Yes,Electronic check,98.95010031071885,1939.35
Male,1,Yes,Yes,41,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,112.83578227652862,8126.65
Male,1,Yes,Yes,27,Yes,No,DSL,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,95.74847743340825,229.5
Female,0,No,No,65,No,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,117.92043659755427,81.25
Female,0,No,No,35,No,No phone service,DSL,No,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Electronic check,46.31149170614188,611.65
Male,0,Yes,No,60,No,No phone service,No,No,Yes,No,No internet service,No internet service,Yes,Two year,Yes,Electronic check,71.90377718565578,1215.1
Male,1,Yes,Yes,48,No,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,41.29345584034094,2974.5
Female,1,No,Yes,32,No,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,84.47148606847415,6941.2
Female,0,Yes,Yes,62,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),63.20308709542854,153.3
Male,0,Yes,No,58,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,51.72233593114406,4345
Male,0,No,No,8,No,Yes,No,Yes,Yes,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),111.56638865449096,1326.25
Male,0,No,No,55,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),22.46227131154358,4847.35
Female,0,No,No,56,No,No,No,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),56.70074456707613,1266.35
Female,0,Yes,No,41,No,No phone service,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,101.52637557748164,169.05
Male,0,Yes,No,27,No,No,No,No,No,No,No,No,Yes,Two year,No,Mailed check,89.01594276609536,429.55
Male,0,No,Yes,57,No,No,No,No,No,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),38.66050007053167,6227.5
Male,0,Yes,No,71,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),56.6613387916464,1348.95
Female,0,Yes,Yes,54,No,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,No,One year,No,Credit card (automatic),102.9374536849507,820.5
Male,1,Yes,No,0,No,No phone service,DSL,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,95.11839446151468,253.9
Male,0,No,No,15,No,No,Fiber optic,No,No,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,83.20564839653656,2570.2
Male,0,No,No,71,No,Yes,DSL,No internet service,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),56.25229611919574,497.55
Male,0,Yes,Yes,61,No,No phone service,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),123.137305585711,5763.3
Female,0,Yes,No,68,No,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,No,One year,Yes,Credit card (automatic),95.85243487549536,272.2
Male,0,No,Yes,0,No,No phone service,DSL,No,No internet service,No,No internet service,Yes,No,One year,No,Electronic check,45.229372362273224,21
Female,0,No,No,55,No,No phone service,Fiber optic,No internet service,No,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.68671162075635,2347.85
Male,0,No,Yes,1,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,1.2292299309533519,6703.5
